table_name,column_name,data_type,is_nullable,column_default
department_delay_view,id,uuid,YES,null
department_delay_view,order_id,text,YES,null
department_delay_view,department,text,YES,null
department_delay_view,date_in,date,YES,null
department_delay_view,time_in,time without time zone,YES,null
department_delay_view,expected_hours,numeric,YES,null
department_delay_view,date_out,date,YES,null
department_delay_view,time_out,time without time zone,YES,null
department_delay_view,status,text,YES,null
department_orders,id,uuid,NO,gen_random_uuid()
department_orders,order_id,text,YES,null
department_orders,department,text,NO,null
department_orders,date_in,date,YES,"(timezone('Asia/Karachi'::text, now()))::date"
department_orders,time_in,time without time zone,YES,"(timezone('Asia/Karachi'::text, now()))::time without time zone"
department_orders,expected_hours,numeric,NO,null
department_orders,date_out,date,YES,null
department_orders,time_out,time without time zone,YES,null
department_orders,status,text,YES,'inprogress'::text
department_sequence,step,integer,NO,null
department_sequence,department,text,NO,null
master_cost_config,cost_type,text,NO,null
master_cost_config,value,numeric,NO,null
master_cost_config,unit,text,YES,null
master_time_config,department,text,NO,null
master_time_config,estimated_hours,numeric,NO,null
master_time_config,allowed_delay_hours,numeric,NO,null
ordersmain,order_id,text,NO,null
ordersmain,quantity,integer,NO,null
ordersmain,current_department,text,NO,null
ordersmain,status,text,YES,'pending'::text
ordersmain,estimated_total_time,numeric,YES,null
ordersmain,estimated_total_cost,numeric,YES,null
ordersmain,created_at,timestamp without time zone,YES,now()
ordersmain,estimated_dept_hours,jsonb,YES,null
profiles,id,uuid,NO,null
profiles,full_name,text,NO,null
profiles,email,text,NO,null
profiles,phone_number,text,NO,null
profiles,role,text,NO,null
profiles,department,text,YES,null
v_department_orders_full,id,uuid,YES,null
v_department_orders_full,order_id,text,YES,null
v_department_orders_full,department,text,YES,null
v_department_orders_full,date_in,date,YES,null
v_department_orders_full,time_in,time without time zone,YES,null
v_department_orders_full,expected_hours,numeric,YES,null
v_department_orders_full,date_out,date,YES,null
v_department_orders_full,time_out,time without time zone,YES,null
v_department_orders_full,status,text,YES,null
v_department_orders_full,quantity,integer,YES,null
v_department_orders_full,manager_name,text,YES,null
